"3";"Boat";"Test1";"Normal";"None";;"43400";"43402";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2019-02-22 13:53:23"
"3";"Boat";"Test2";"Normal";"None";;"66106";"66107";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2019-02-22 13:59:58"
"4";"Boat";"First1";"Normal";"None";;"229488";"7371";"3751";"9361";"22601";"14320";"3073";"8401";"9252";"21955";"9560";"8581";"7031";"76082";"19943";"8111";"2019-02-22 15:07:55"
"4";"Boat";"Second1";"Normal";"None";;"139413";"5053";"1193";"9460";"20801";"14130";"1470";"6881";"20471";"11301";"2480";"7406";"7243";"8863";"9812";"12740";"2019-02-22 15:10:36"
"4";"Boat";"Third1";"Normal";"None";;"109044";"4822";"2400";"9681";"15100";"8631";"1403";"6600";"4091";"17373";"2250";"6123";"5264";"13771";"3520";"7930";"2019-02-22 15:12:41"
"4";"Boat";"Test1";"Normal";"None";;"109432";"109422";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2019-02-22 15:14:47"
"4";"Boat";"Test2";"Normal";"None";;"82072";"82072";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2019-02-22 15:21:28"
"4";"Swan";"First2";"Augmented";"None";;"159833";"16850";"26741";"6913";"31751";"22852";"10040";"5971";"9352";"13890";"15421";"0";"0";"0";"0";"0";"2019-02-22 15:24:39"
"4";"Swan";"Second2";"Augmented";"None";;"97746";"4332";"20884";"4210";"19041";"10883";"6881";"3392";"11042";"11482";"5520";"0";"0";"0";"0";"0";"2019-02-22 15:26:31"
"4";"Swan";"Third2";"Augmented";"None";;"98983";"2450";"16152";"4680";"38671";"10440";"7110";"4951";"5701";"5370";"3390";"0";"0";"0";"0";"0";"2019-02-22 15:28:22"
"4";"Swan";"Test1";"Augmented";"None";;"81702";"81702";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2019-02-22 15:29:59"
"4";"Swan";"Test2";"Augmented";"None";;"98663";"98664";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2019-02-22 15:36:59"
"5";"Swan";"First1";"Normal";"None";;"99982";"10681";"17642";"4336";"23912";"10472";"7462";"4310";"6733";"9652";"4632";"0";"0";"0";"0";"0";"2019-02-26 15:36:00"
"5";"Swan";"Second1";"Normal";"None";;"74020";"2643";"12640";"4080";"12412";"9799";"7892";"4061";"10780";"4130";"5310";"0";"0";"0";"0";"0";"2019-02-26 15:37:37"
"5";"Swan";"Third1";"Normal";"None";;"78354";"1841";"9759";"19540";"1772";"3771";"12851";"4671";"6062";"3242";"1973";"0";"0";"0";"0";"0";"2019-02-26 15:40:21"
"5";"Swan";"Test1";"Normal";"None";;"48480";"48481";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2019-02-26 15:41:39"
"5";"Swan";"Test2";"Normal";"None";;"37230";"37231";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2019-02-26 15:46:35"
"5";"Boat";"First2";"Augmented";"None";"14";"132444";"4760";"3345";"9321";"11640";"6520";"1901";"6292";"6561";"7170";"2761";"3201";"7784";"7723";"42861";"2700";"2019-02-26 15:50:00"
"5";"Boat";"Second2";"Augmented";"None";;"95392";"4781";"1902";"4571";"9921";"7587";"1310";"5072";"12963";"6220";"3090";"1962";"13641";"10761";"11481";"11481";"2019-02-26 15:52:40"
"5";"Boat";"Third2";"Augmented";"None";;"80513";"5441";"1442";"8660";"7310";"4081";"1770";"3361";"6941";"5931";"4280";"4051";"3942";"4704";"14451";"3890";"2019-02-26 15:54:37"
"5";"Boat";"Test1";"Augmented";"None";;"61751";"61752";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2019-02-26 15:57:07"
"5";"Boat";"Test2";"Augmented";"None";;"59460";"59461";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2019-02-26 16:02:28"
