id,origami_type,task_type,method_type,incomplete_input,skipped_steps,total_time,step1,step2,step3,step4,step5,step6,step7,step8,step9,step10,step11,step12,step13,step14,step15,date_time
20,Boat,Test1,Normal,finishedStep8,,317.891,317.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/24/2019 16:44
20,Swan,First2,Augmented,finishedStep6,,176.701,3.711,29.42,12.68,23.42,49.051,0,0,0,0,0,0,0,0,0,0,4/24/2019 16:48
20,Swan,Second2,Augmented,finishedStep9,,247.451,4.961,59.4,2.14,37.792,25.47,17.28,5.381,65.741,0,0,0,0,0,0,0,4/24/2019 16:53
20,Swan,Third2,Augmented,None,,211.7,2.53,61.114,2.522,57.941,23.72,12.6,4.22,25.172,11.131,10.61,0,0,0,0,0,4/24/2019 16:57
20,Swan,Test1,Augmented,None,5,304.27,304.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/24/2019 17:15
21,Swan,First1,Normal,None,,252.401,24.023,73.051,3.254,26.26,15.39,48.161,36.47,9.26,15.371,1.041,0,0,0,0,0,4/26/2019 12:34
21,Swan,Second1,Normal,None,,140.571,13.671,25.821,16.011,12.17,23.74,4.48,9.64,8.971,12.68,13.27,0,0,0,0,0,4/26/2019 12:37
21,Swan,Third1,Normal,None,,113.63,2.82,21.253,5.6,20.04,14.44,15.381,3.63,11.101,10.42,8.811,0,0,0,0,0,4/26/2019 12:39
21,Boat,First1,Augmented,None,,191.98,24.991,3.882,12.161,22.242,10.611,2.301,9.261,9.071,33.611,2.54,11.25,9.35,13.45,15.881,11.211,4/26/2019 12:55
21,Boat,Second1,Augmented,None,,121.66,12.23,2.422,12.16,17.46,7.23,2.05,5.691,4.62,23.9,1.73,9.181,3.52,5.66,8.281,5.351,4/26/2019 12:57
21,Boat,Third1,Augmented,None,,112.47,9.991,2.771,9.45,16.832,7.94,1.94,5.821,10.52,15.43,2.03,8.102,4.75,7.551,4.11,5.04,4/26/2019 12:59
21,Boat,Test1,Augmented,None,,80.341,80.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/26/2019 13:10
22,Boat,First1,Augmented,None,,357.96,13.19,3.781,5.12,2.083,65.1,2.521,7.11,19.391,15.91,2.33,4.661,8.722,15.363,14.6,28.84,4/30/2019 10:48
22,Boat,Second1,Augmented,None,,116.01,8.96,2.721,9.551,13.191,7.47,1.11,5.251,15.99,7.78,1.753,8.9,9.13,6.643,6.44,10.92,4/30/2019 10:51
22,Boat,Third1,Augmented,None,,132.843,7.231,2.46,7.87,16.482,8.691,1.751,5.661,15.51,7.69,6.57,5.431,15.54,5.44,15.59,10.741,4/30/2019 10:54
22,Boat,Test1,Augmented,None,,94.84,94.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/30/2019 11:06
22,Swan,First2,Normal,finishedStep3,2,248.481,24.761,66.301,0,0,0,0,0,0,0,0,0,0,0,0,0,4/30/2019 11:11
22,Swan,Second2,Normal,None,,346.451,2.341,39.35,3.061,35.84,99.991,26.77,0.72,1.251,1.68,1.141,0,0,0,0,0,4/30/2019 11:17
22,Swan,Third2,Normal,None,,111.89,8.153,27.43,2.93,21.57,12.71,7.731,0.611,9.361,6.35,14.92,0,0,0,0,0,4/30/2019 11:20
22,Swan,Test1,Normal,None,,93.2,93.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/30/2019 11:32
23,Swan,First1,Normal,None,,9.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/3/2019 8:49
23,Swan,First1,Augmented,None,,228.55,4.33,49.43,2.98,110.18,10.07,9.21,3.2,21.41,12.05,5.61,0,0,0,0,0,5/3/2019 12:10
23,Swan,Second1,Augmented,None,,126.23,3.09,40.46,3.26,32.921,9.071,8.52,3.661,12.98,7.211,4.99,0,0,0,0,0,5/3/2019 12:13
23,Swan,Third1,Augmented,None,,120.93,2.26,52.081,2.471,27.1,6.92,7.37,3.091,10.231,5.511,3.81,0,0,0,0,0,5/3/2019 12:15
23,Swan,Test1,Augmented,None,,144.061,144.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/3/2019 12:27
23,Boat,First2,Normal,None,,135.191,6.111,5.42,6.8,0.32,0.51,1.182,20.49,4.52,12.09,14.96,2.731,11.07,9.03,18.9,0,5/3/2019 12:32
23,Boat,Second2,Normal,None,,173.661,3.731,21.321,4.49,17.89,19.72,9.72,3.241,22.45,15.3,20.141,0.67,4.61,11.64,10.69,7.91,5/3/2019 12:35
23,Boat,Third2,Normal,None,,156.401,2.471,20.5,6.29,31.08,16.71,12.011,3.27,10.18,12.81,11.45,2.88,5.97,5.88,4.08,10.7,5/3/2019 12:47
23,Boat,Test1,Normal,None,,144.66,144.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/3/2019 12:50
24,Boat,First1,Normal,None,,277.23,30.546,8.54,13.401,44.392,13.74,11.53,43.73,26.951,12.91,4.08,14.64,28.97,18.461,0.471,4.691,5/6/2019 12:43
24,Boat,Second1,Normal,None,,119.751,8.561,3.05,12.86,15.581,9.021,6.54,6.78,13.6,7.53,2.31,5.31,8.4,16.96,0.31,2.781,5/6/2019 12:45
24,Boat,Third1,Normal,None,,85.841,10.66,11.461,0.6,11.1,3.203,4.621,7.02,4.582,7.361,0.38,6.051,13.451,0.34,0.39,4.43,5/6/2019 12:47
24,Boat,Test1,Normal,None,,79.61,79.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/6/2019 13:00
24,Swan,First2,Augmented,None,,230.82,2.791,62.95,4.301,20.62,21.26,26.571,2.69,20.29,48.611,20.6,0,0,0,0,0,5/6/2019 13:05
24,Swan,Second2,Augmented,None,,98.86,25.12,4.461,3.911,18.29,9.59,6.062,3.321,11.51,12.64,3.841,0,0,0,0,0,5/6/2019 13:07
24,Swan,Third2,Augmented,None,,67.342,63.49,1.51,0.231,0.2,0.17,0.161,0.163,0.17,0.3,0.843,0,0,0,0,0,5/6/2019 13:08
24,Swan,Test1,Augmented,None,,58.05,58.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/6/2019 13:19
