id,origami_type,task_type,method_type,incomplete_input,skipped_steps,total_time,step1,step2,step3,step4,step5,step6,step7,step8,step9,step10,step11,step12,step13,step14,step15,date_time
4,Swan,Test2,Augmented,None,,98.663,98.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/22/2019 15:36
5,Swan,First1,Normal,None,,99.982,10.681,17.642,4.336,23.912,10.472,7.462,4.31,6.733,9.652,4.632,0,0,0,0,0,2/26/2019 15:36
5,Swan,Second1,Normal,None,,74.02,2.643,12.64,4.08,12.412,9.799,7.892,4.061,10.78,4.13,5.31,0,0,0,0,0,2/26/2019 15:37
5,Swan,Third1,Normal,None,,78.354,1.841,9.759,19.54,1.772,3.771,12.851,4.671,6.062,3.242,1.973,0,0,0,0,0,2/26/2019 15:40
5,Swan,Test1,Normal,None,,48.48,48.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/26/2019 15:41
5,Swan,Test2,Normal,None,,37.23,37.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/26/2019 15:46
5,Boat,First2,Augmented,None,14,132.444,4.76,3.345,9.321,11.64,6.52,1.901,6.292,6.561,7.17,2.761,3.201,7.784,7.723,42.861,2.7,2/26/2019 15:50
5,Boat,Second2,Augmented,None,,95.392,4.781,1.902,4.571,9.921,7.587,1.31,5.072,12.963,6.22,3.09,1.962,13.641,10.761,11.481,11.481,2/26/2019 15:52
5,Boat,Third2,Augmented,None,,80.513,5.441,1.442,8.66,7.31,4.081,1.77,3.361,6.941,5.931,4.28,4.051,3.942,4.704,14.451,3.89,2/26/2019 15:54
5,Boat,Test1,Augmented,None,,61.751,61.752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/26/2019 15:57
5,Boat,Test2,Augmented,None,,59.46,59.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/26/2019 16:02
6,Boat,First1,Augmented,None,,133.939,8.695,3.492,15.32,12.931,19.741,2.752,4.93,12.65,13.14,5.761,8.761,9.95,5.342,6.222,4.15,3/1/2019 13:08
